feature,mutual_info
Discount Applied,0.2994329397598982
Promo Code Used,0.2994329397598982
Gender,0.12643410177877895
Purchase Amount (USD),0.006960090365155214
Location,0.005619297110757671
Item Purchased,0.003289737351077522
Color,0.002487365931262475
Review Rating,0.0009722567591670117
Shipping Type,0.0008064389707320152
Frequency of Purchases,0.0004998261077781424
Payment Method,0.0004888947554846368
Category,0.00017136270566676937
Size,0.00011848634942593361
Season,8.005530265015048e-05
Age,0.0
Previous Purchases,0.0
